Strategy,Coverage,R_value,Size
DV,1,1,27,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,28,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,52,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,60,
DV,1,1,1,
DV,1,1,1,
DV,1,1,94,
DV,1,1,84,
DV,1,1,1,
DV,1,1,1,
DV,1,1,16,
DV,1,1,1,
DV,1,1,324,
DV,1,1,21,
DV,1,1,1,
DV,1,1,4,
DV,1,1,1,
DV,1,1,1,
DV,1,1,12,
DV,1,1,8,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3017,
DV,1,1,2,
DV,1,1,1241,
DV,1,1,18,
DV,1,1,20,
DV,1,1,2,
DV,1,1,2,
DV,1,1,1,
DV,1,1,16,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,34,
DV,1,1,3,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,11,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,5,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,101,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,10,
DV,1,1,44,
DV,1,1,1,
DV,1,1,268,
DV,1,1,1,
DV,1,1,7,
DV,1,1,1,
DV,1,1,1,
DV,1,1,5,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,63,
DV,1,1,15,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
